Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,device_type
2025-03-16 10:25:00,user1,Emergency_Service,-65 dBm,8 ms,1.0 Mbps,1.1 Mbps,70%,office_mobile
2025-03-16 10:29:00,user1,File_Download,-95 dBm,46 ms,650 Kbps,650 Kbps,60%,Home_mobile
2025-03-16 10:30:00,user1,IoT_Temperature,-100 dBm,103 ms,4 Kbps,5 Kbps,75%,Home_mobile
2025-03-16 10:30:00,user1,Streaming,-87 dBm,32 ms,3.7 Mbps,4.0 Mbps,70%,Home_mobile
2025-03-16 10:37:00,user1,Video_Call,-81 dBm,29 ms,10.3 Mbps,12.1 Mbps,70%,office_mobile
2025-03-16 10:38:00,user1,Online_Gaming,-76 dBm,23 ms,2.7 Mbps,3.0 Mbps,80%,PC
2025-03-16 10:41:00,user1,Web_Browsing,-90 dBm,26 ms,1.0 Mbps,1.0 Mbps,70%,Home_mobile
2025-03-16 10:41:00,user1,VoIP_Call,-86 dBm,20 ms,155 Kbps,180 Kbps,90%,Home_mobile
2025-03-16 10:45:00,user1,Video_Call,-69 dBm,26 ms,10.9 Mbps,12.4 Mbps,75%,office_mobile
2025-03-16 10:46:00,user1,Streaming,-79 dBm,34 ms,4.3 Mbps,4.9 Mbps,85%,Home_mobile
2025-03-16 10:49:00,user1,Emergency_Service,-64 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%,office_mobile
2025-03-16 10:50:00,user1,File_Download,-96 dBm,45 ms,660 Kbps,660 Kbps,60%,Home_mobile
2025-03-16 10:51:00,user1,IoT_Temperature,-101 dBm,102 ms,3 Kbps,4 Kbps,75%,Home_mobile
2025-03-16 10:52:00,user1,Streaming,-88 dBm,31 ms,3.8 Mbps,4.1 Mbps,70%,TV
2025-03-16 10:58:00,user1,Video_Call,-82 dBm,28 ms,10.7 Mbps,12.2 Mbps,70%,office_mobile
2025-03-16 10:59:00,user1,Online_Gaming,-75 dBm,22 ms,2.8 Mbps,3.1 Mbps,80%,TV
2025-03-16 11:04:00,user1,Web_Browsing,-91 dBm,25 ms,0.9 Mbps,0.9 Mbps,70%,Home_mobile
2025-03-16 11:06:00,user1,VoIP_Call,-87 dBm,19 ms,150 Kbps,175 Kbps,90%,Home_mobile
2025-03-16 11:07:00,user1,Video_Call,-68 dBm,25 ms,11.0 Mbps,12.5 Mbps,75%,office_mobile
2025-03-16 11:07:00,user1,Streaming,-78 dBm,33 ms,4.4 Mbps,5.0 Mbps,85%,Home_mobile
2025-03-16 11:08:00,user1,Emergency_Service,-63 dBm,6 ms,0.9 Mbps,1.0 Mbps,70%,office_mobile
2025-03-16 11:09:00,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%,Home_mobile
2025-03-16 11:09:00,user1,IoT_Temperature,-102 dBm,101 ms,2 Kbps,3 Kbps,75%,Home_mobile
2025-03-16 11:09:00,user1,Streaming,-89 dBm,30 ms,3.9 Mbps,4.2 Mbps,70%,Home_mobile
2025-03-16 11:11:00,user1,Video_Call,-83 dBm,27 ms,10.8 Mbps,12.0 Mbps,70%,office_mobile
2025-03-16 11:14:00,user1,Online_Gaming,-74 dBm,21 ms,2.9 Mbps,3.2 Mbps,80%,TV
2025-03-16 11:17:00,user1,Web_Browsing,-92 dBm,24 ms,0.8 Mbps,0.8 Mbps,70%,Home_mobile
2025-03-16 11:27:00,user1,VoIP_Call,-88 dBm,18 ms,145 Kbps,170 Kbps,90%,Home_mobile
2025-03-16 11:28:00,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.8 Mbps,75%,office_mobile
2025-03-16 11:32:00,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%,TV
2025-03-16 11:32:00,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%,office_mobile
2025-03-16 11:33:00,user1,File_Download,-98 dBm,43 ms,680 Kbps,680 Kbps,60%,Home_mobile
2025-03-16 11:33:00,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%,Home_mobile
2025-03-16 11:34:00,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%,TV
2025-03-16 11:38:00,user1,Video_Call,-84 dBm,26 ms,10.9 Mbps,12.1 Mbps,70%,office_mobile
2025-03-16 11:40:00,user1,Online_Gaming,-73 dBm,20 ms,3.0 Mbps,3.3 Mbps,80%,PC
2025-03-16 11:43:00,user1,Web_Browsing,-93 dBm,23 ms,0.7 Mbps,0.7 Mbps,70%,Home_mobile
2025-03-16 11:44:00,user1,VoIP_Call,-89 dBm,17 ms,140 Kbps,165 Kbps,90%,Home_mobile
2025-03-16 11:45:00,user1,Video_Call,-66 dBm,23 ms,11.4 Mbps,12.7 Mbps,75%,office_mobile
2025-03-16 11:46:00,user1,Streaming,-76 dBm,31 ms,4.6 Mbps,5.2 Mbps,85%,TV
2025-03-16 11:46:00,user1,Emergency_Service,-61 dBm,6 ms,0.7 Mbps,0.8 Mbps,70%,office_mobile
2025-03-16 11:47:00,user1,File_Download,-99 dBm,42 ms,690 Kbps,690 Kbps,60%,Home_mobile
2025-03-16 11:49:00,user1,IoT_Temperature,-104 dBm,99 ms,1 Kbps,2 Kbps,75%,Home_mobile
2025-03-16 11:53:00,user1,Streaming,-91 dBm,28 ms,4.1 Mbps,4.4 Mbps,70%,TV
2025-03-16 11:54:00,user1,VoIP_Call,-86 dBm,18 ms,155 Kbps,180 Kbps,90%,Home_mobile
2025-03-16 11:57:00,user1,Online_Gaming,-74 dBm,22 ms,2.9 Mbps,3.2 Mbps,80%,PC
2025-03-16 11:58:00,user1,Web_Browsing,-92 dBm,25 ms,0.8 Mbps,0.8 Mbps,70%,Home_mobile
2025-03-16 11:59:00,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.5 Mbps,75%,office_mobile
2025-03-16 11:59:00,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%,TV
2025-03-16 12:01:00,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%,office_mobile
2025-03-16 12:07:00,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%,Home_mobile
2025-03-16 12:08:00,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%,Home_mobile
2025-03-16 12:11:00,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%,TV
2025-03-16 12:11:00,user1,VoIP_Call,-85 dBm,19 ms,150 Kbps,175 Kbps,90%,Home_mobile
2025-03-16 12:11:00,user1,Video_Call,-83 dBm,27 ms,10.8 Mbps,12.0 Mbps,70%,office_mobile
2025-03-16 12:13:00,user1,Online_Gaming,-72 dBm,21 ms,3.1 Mbps,3.4 Mbps,80%,PC
2025-03-16 12:15:00,user1,Web_Browsing,-94 dBm,24 ms,0.7 Mbps,0.7 Mbps,70%,Home_mobile
2025-03-16 12:17:00,user1,VoIP_Call,-88 dBm,18 ms,145 Kbps,170 Kbps,90%,Home_mobile
2025-03-16 12:18:00,user1,Video_Call,-68 dBm,25 ms,11.4 Mbps,12.7 Mbps,75%,office_mobile
2025-03-16 12:19:00,user1,Streaming,-76 dBm,31 ms,4.6 Mbps,5.2 Mbps,85%,Home_mobile
2025-03-16 12:20:00,user1,Emergency_Service,-61 dBm,6 ms,0.7 Mbps,0.8 Mbps,70%,office_mobile
2025-03-16 12:23:00,user1,File_Download,-98 dBm,43 ms,680 Kbps,680 Kbps,60%,Home_mobile
2025-03-16 12:23:00,user1,IoT_Temperature,-102 dBm,99 ms,1 Kbps,2 Kbps,75%,Home_mobile
2025-03-16 12:25:00,user1,Streaming,-89 dBm,30 ms,4.1 Mbps,4.4 Mbps,70%,Home_mobile
2025-03-16 12:30:00,user1,VoIP_Call,-86 dBm,19 ms,155 Kbps,180 Kbps,90%,Home_mobile
2025-03-16 12:33:00,user1,Online_Gaming,-74 dBm,22 ms,2.9 Mbps,3.2 Mbps,80%,TV
2025-03-16 12:37:00,user1,Web_Browsing,-92 dBm,25 ms,0.8 Mbps,0.8 Mbps,70%,Home_mobile
2025-03-16 12:41:00,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.5 Mbps,75%,office_mobile
2025-03-16 12:46:00,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%,Home_mobile
2025-03-16 12:48:00,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%,office_mobile
2025-03-16 12:49:00,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%,Home_mobile
2025-03-16 12:49:00,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%,Home_mobile
2025-03-16 12:50:00,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%,TV
2025-03-16 12:53:00,user1,Video_Call,-85 dBm,19 ms,150 Kbps,175 Kbps,90%,office_mobile
2025-03-16 12:56:00,user1,Web_Browsing,-85 dBm,28 ms,1.5 Mbps,1.5 Mbps,70%,Home_mobile
2025-03-16 12:56:00,user1,File_Download,-99 dBm,46 ms,620 Kbps,620 Kbps,60%,Home_mobile
2025-03-16 12:56:00,user1,VoIP_Call,-88 dBm,20 ms,130 Kbps,155 Kbps,90%,Home_mobile
2025-03-16 12:56:00,user1,Streaming,-75 dBm,30 ms,5.0 Mbps,5.7 Mbps,85%,TV
2025-03-16 12:58:00,user1,Video_Call,-66 dBm,26 ms,11.0 Mbps,12.3 Mbps,75%,office_mobile
2025-03-16 12:59:00,user1,Streaming,-80 dBm,29 ms,4.2 Mbps,4.6 Mbps,70%,Home_mobile
2025-03-16 13:01:00,user1,Emergency_Service,-60 dBm,5 ms,0.9 Mbps,1.0 Mbps,70%,office_mobile
2025-03-16 13:01:00,user1,Web_Browsing,-94 dBm,27 ms,0.6 Mbps,0.6 Mbps,70%,Home_mobile
2025-03-16 13:01:00,user1,File_Download,-96 dBm,45 ms,660 Kbps,660 Kbps,60%,Home_mobile
2025-03-16 13:02:00,user1,Online_Gaming,-72 dBm,20 ms,3.2 Mbps,3.5 Mbps,80%,PC
2025-03-16 13:02:00,user1,Streaming,-78 dBm,32 ms,4.4 Mbps,5.0 Mbps,85%,Home_mobile
2025-03-16 13:03:00,user1,Video_Call,-67 dBm,27 ms,11.1 Mbps,12.4 Mbps,75%,office_mobile
2025-03-16 13:04:00,user1,Streaming,-81 dBm,28 ms,4.1 Mbps,4.5 Mbps,70%,TV
2025-03-16 13:06:00,user1,Emergency_Service,-59 dBm,5 ms,0.9 Mbps,1.1 Mbps,70%,office_mobile
2025-03-16 13:09:00,user1,Web_Browsing,-95 dBm,26 ms,0.7 Mbps,0.7 Mbps,70%,Home_mobile
2025-03-16 13:11:00,user1,File_Download,-95 dBm,47 ms,610 Kbps,610 Kbps,60%,Home_mobile
2025-03-16 13:12:00,user1,VoIP_Call,-87 dBm,21 ms,125 Kbps,150 Kbps,90%,Home_mobile
2025-03-16 13:12:00,user1,Online_Gaming,-71 dBm,19 ms,3.3 Mbps,3.6 Mbps,80%,TV
2025-03-16 13:13:00,user1,Streaming,-79 dBm,33 ms,4.3 Mbps,4.8 Mbps,85%,Home_mobile
2025-03-16 13:13:00,user1,Video_Call,-68 dBm,28 ms,11.3 Mbps,12.6 Mbps,75%,office_mobile
2025-03-16 13:13:00,user1,Streaming,-82 dBm,30 ms,4.0 Mbps,4.4 Mbps,70%,TV
2025-03-16 13:14:00,user1,Emergency_Service,-58 dBm,5 ms,0.8 Mbps,1.0 Mbps,70%,office_mobile
2025-03-16 13:14:00,user1,Web_Browsing,-96 dBm,25 ms,0.6 Mbps,0.6 Mbps,70%,Home_mobile
2025-03-16 13:17:00,user1,File_Download,-94 dBm,48 ms,650 Kbps,650 Kbps,60%,Home_mobile
2025-03-16 13:19:00,user1,VoIP_Call,-86 dBm,22 ms,120 Kbps,145 Kbps,90%,Home_mobile
2025-03-16 13:20:00,user1,Streaming,-80 dBm,31 ms,4.4 Mbps,4.9 Mbps,85%,Home_mobile
2025-03-16 13:23:00,user1,Video_Call,-66 dBm,25 ms,11.5 Mbps,12.8 Mbps,75%,office_mobile
2025-03-16 13:25:00,user1,Streaming,-83 dBm,31 ms,4.0 Mbps,4.4 Mbps,70%,Home_mobile
2025-03-16 13:25:00,user1,Emergency_Service,-58 dBm,5 ms,0.8 Mbps,1.0 Mbps,70%,office_mobile
2025-03-16 13:25:00,user1,Web_Browsing,-97 dBm,24 ms,0.5 Mbps,0.5 Mbps,70%,Home_mobile
2025-03-16 13:28:00,user1,File_Download,-97 dBm,49 ms,640 Kbps,640 Kbps,60%,Home_mobile
2025-03-16 13:28:00,user1,VoIP_Call,-85 dBm,23 ms,115 Kbps,140 Kbps,90%,Home_mobile
2025-03-16 13:28:00,user1,Online_Gaming,-70 dBm,18 ms,3.4 Mbps,3.7 Mbps,80%,TV
2025-03-16 13:30:00,user1,Streaming,-81 dBm,32 ms,4.2 Mbps,4.7 Mbps,85%,Home_mobile
2025-03-16 13:31:00,user1,Video_Call,-65 dBm,24 ms,11.6 Mbps,12.9 Mbps,75%,office_mobile
2025-03-16 13:33:00,user1,Streaming,-84 dBm,30 ms,3.9 Mbps,4.3 Mbps,70%,TV
2025-03-16 13:33:00,user1,Emergency_Service,-57 dBm,5 ms,0.7 Mbps,0.9 Mbps,70%,office_mobile
2025-03-16 13:33:00,user1,Web_Browsing,-97 dBm,23 ms,0.5 Mbps,0.5 Mbps,70%,Home_mobile
2025-03-16 13:36:00,user1,File_Download,-98 dBm,50 ms,630 Kbps,630 Kbps,60%,Home_mobile
2025-03-16 13:37:00,user1,VoIP_Call,-84 dBm,24 ms,110 Kbps,135 Kbps,90%,Home_mobile
2025-03-16 13:38:00,user1,Online_Gaming,-69 dBm,19 ms,3.5 Mbps,3.8 Mbps,80%,PC
2025-03-16 13:40:00,user1,Streaming,-82 dBm,33 ms,4.1 Mbps,4.6 Mbps,85%,TV
2025-03-16 13:40:00,user1,Video_Call,-64 dBm,25 ms,11.7 Mbps,13.0 Mbps,75%,office_mobile
2025-03-16 13:42:00,user1,Streaming,-85 dBm,29 ms,3.8 Mbps,4.2 Mbps,70%,Home_mobile
2025-03-16 13:45:00,user1,Emergency_Service,-57 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%,office_mobile
2025-03-16 13:46:00,user1,Web_Browsing,-98 dBm,22 ms,0.5 Mbps,0.5 Mbps,70%,Home_mobile
2025-03-16 13:46:00,user1,File_Download,-98 dBm,51 ms,620 Kbps,620 Kbps,60%,Home_mobile
2025-03-16 13:47:00,user1,VoIP_Call,-83 dBm,25 ms,105 Kbps,130 Kbps,90%,Home_mobile
2025-03-16 13:48:00,user1,Online_Gaming,-68 dBm,20 ms,3.6 Mbps,3.9 Mbps,80%,PC
2025-03-16 13:48:00,user1,Streaming,-83 dBm,34 ms,4.0 Mbps,4.5 Mbps,85%,Home_mobile
2025-03-16 13:56:00,user1,Video_Call,-63 dBm,26 ms,11.8 Mbps,13.1 Mbps,75%,office_mobile
2025-03-16 13:56:00,user1,Streaming,-86 dBm,31 ms,3.7 Mbps,4.1 Mbps,70%,TV
2025-03-16 13:57:00,user1,Emergency_Service,-56 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%,office_mobile
2025-03-16 13:58:00,user1,Web_Browsing,-98 dBm,21 ms,0.5 Mbps,0.5 Mbps,70%,Home_mobile
2025-03-16 13:59:00,user1,File_Download,-99 dBm,52 ms,610 Kbps,610 Kbps,60%,Home_mobile
2025-03-16 13:59:00,user1,VoIP_Call,-82 dBm,26 ms,100 Kbps,125 Kbps,90%,Home_mobile
2025-03-16 13:59:00,user1,Online_Gaming,-67 dBm,21 ms,3.7 Mbps,4.0 Mbps,80%,PC
2025-03-16 14:00:00,user1,Streaming,-84 dBm,35 ms,3.9 Mbps,4.4 Mbps,85%,TV
2025-03-16 14:05:00,user1,Video_Call,-63 dBm,27 ms,11.9 Mbps,13.2 Mbps,75%,office_mobile
2025-03-16 14:06:00,user1,Streaming,-87 dBm,32 ms,3.6 Mbps,4.0 Mbps,70%,TV
2025-03-16 14:09:00,user1,Emergency_Service,-55 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%,office_mobile
2025-03-16 14:09:00,user1,Web_Browsing,-99 dBm,20 ms,0.4 Mbps,0.4 Mbps,70%,Home_mobile
2025-03-16 14:11:00,user1,File_Download,-100 dBm,53 ms,600 Kbps,600 Kbps,60%,Home_mobile
2025-03-16 14:11:00,user1,VoIP_Call,-81 dBm,27 ms,95 Kbps,120 Kbps,90%,Home_mobile
2025-03-16 14:12:00,user1,Online_Gaming,-66 dBm,22 ms,3.8 Mbps,4.1 Mbps,80%,TV
2025-03-16 14:13:00,user1,Streaming,-85 dBm,36 ms,3.8 Mbps,4.3 Mbps,85%,Home_mobile
2025-03-16 14:17:00,user1,Video_Call,-62 dBm,28 ms,12.0 Mbps,13.3 Mbps,75%,office_mobile
2025-03-16 14:18:00,user1,Streaming,-88 dBm,33 ms,3.5 Mbps,3.9 Mbps,70%,TV
2025-03-16 14:23:00,user1,Emergency_Service,-54 dBm,5 ms,0.6 Mbps,0.7 Mbps,70%,office_mobile
2025-03-16 14:24:00,user1,Web_Browsing,-100 dBm,19 ms,0.4 Mbps,0.4 Mbps,70%,Home_mobile
2025-03-16 14:25:00,user1,File_Download,-100 dBm,54 ms,590 Kbps,590 Kbps,60%,Home_mobile
2025-03-16 14:25:00,user1,VoIP_Call,-80 dBm,28 ms,90 Kbps,115 Kbps,90%,Home_mobile
2025-03-16 14:27:00,user1,Online_Gaming,-65 dBm,23 ms,3.9 Mbps,4.2 Mbps,80%,TV
2025-03-16 14:32:00,user1,Streaming,-86 dBm,37 ms,3.7 Mbps,4.2 Mbps,85%,Home_mobile
2025-03-16 14:33:00,user1,Video_Call,-61 dBm,29 ms,12.1 Mbps,13.4 Mbps,75%,office_mobile
2025-03-16 14:35:00,user1,Streaming,-89 dBm,34 ms,3.4 Mbps,3.8 Mbps,70%,Home_mobile
2025-03-16 14:35:00,user1,Emergency_Service,-54 dBm,5 ms,0.6 Mbps,0.7 Mbps,70%,office_mobile
2025-03-16 14:42:00,user1,Web_Browsing,-101 dBm,18 ms,0.4 Mbps,0.4 Mbps,70%,Home_mobile
2025-03-16 14:47:00,user1,File_Download,-101 dBm,55 ms,580 Kbps,580 Kbps,60%,Home_mobile
2025-03-16 14:48:00,user1,VoIP_Call,-79 dBm,29 ms,85 Kbps,110 Kbps,90%,Home_mobile
2025-03-16 14:49:00,user1,Online_Gaming,-64 dBm,24 ms,4.0 Mbps,4.3 Mbps,80%,PC
2025-03-16 14:49:00,user1,Streaming,-87 dBm,38 ms,3.6 Mbps,4.1 Mbps,85%,Home_mobile
2025-03-16 14:50:00,user1,Video_Call,-60 dBm,30 ms,12.2 Mbps,13.5 Mbps,75%,office_mobile
2025-03-16 14:50:00,user1,Streaming,-90 dBm,35 ms,3.3 Mbps,3.7 Mbps,70%,TV
2025-03-16 14:53:00,user1,Emergency_Service,-53 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%,office_mobile
2025-03-16 14:55:00,user1,Web_Browsing,-101 dBm,17 ms,0.4 Mbps,0.4 Mbps,70%,Home_mobile
2025-03-16 14:55:00,user1,File_Download,-102 dBm,56 ms,570 Kbps,570 Kbps,60%,Home_mobile
2025-03-16 14:55:00,user1,VoIP_Call,-78 dBm,30 ms,80 Kbps,105 Kbps,90%,Home_mobile
2025-03-16 15:03:00,user1,Online_Gaming,-63 dBm,25 ms,4.1 Mbps,4.4 Mbps,80%,TV
2025-03-16 15:04:00,user1,Streaming,-88 dBm,39 ms,3.5 Mbps,4.0 Mbps,85%,TV
2025-03-16 15:05:00,user1,Video_Call,-59 dBm,31 ms,12.3 Mbps,13.6 Mbps,75%,office_mobile
2025-03-16 15:06:00,user1,Streaming,-91 dBm,36 ms,3.2 Mbps,3.6 Mbps,70%,TV
2025-03-16 15:08:00,user1,Emergency_Service,-53 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%,office_mobile
2025-03-16 15:09:00,user1,Web_Browsing,-102 dBm,16 ms,0.4 Mbps,0.4 Mbps,70%,Home_mobile
2025-03-16 15:09:00,user1,File_Download,-102 dBm,57 ms,560 Kbps,560 Kbps,60%,Home_mobile
2025-03-16 15:09:00,user1,VoIP_Call,-77 dBm,31 ms,75 Kbps,100 Kbps,90%,Home_mobile
2025-03-16 15:09:00,user1,Online_Gaming,-62 dBm,26 ms,4.2 Mbps,4.5 Mbps,80%,PC
2025-03-16 15:10:00,user1,Streaming,-89 dBm,40 ms,3.4 Mbps,3.9 Mbps,85%,TV
2025-03-16 15:15:00,user1,Video_Call,-58 dBm,32 ms,12.4 Mbps,13.7 Mbps,75%,office_mobile
2025-03-16 15:15:00,user1,Streaming,-92 dBm,37 ms,3.1 Mbps,3.5 Mbps,70%,Home_mobile
